"Product Code","Product Name",Variant,Expected,Counted
00148321,"OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Love Triangle",,0.0000,
00155797,"OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Ocean Way",,0.0000,
00226577,"Amazon fire TV stick with KODI",,0.0000,
00369125,"Logitech® M325 Wireless Mouse",,0.0000,
00460948,"Samsung Galaxy Note 8 64GB Refurbished",,0.0000,
00481314,"IPHONE 8 PLUS CHARGING PORT",,0.0000,
00734850,"INCIPIO Desktop Charging",,0.0000,
00978939,"Galaxy s9 plus back glass",,0.0000,
01004546,"Dell Latitude E6440 Laptop",,0.0000,
01152822,"Galaxy A32 128GB",,0.0000,
01465085,"mophie - Power Boost Power Bank 2,600 mAh - Black",,0.0000,
01536489,"iPad 2",,0.0000,
01635200,"apple watch series 2 battery",,0.0000,
01673539,"Alcatel Lumos",,0.0000,
01755132,"3.5 AUX with Mic",,0.0000,
01917102,"iPad Mini 2 Wifi (16GB) Refurbished",,0.0000,
01958538,"iPhone Headphone (BL)",,0.0000,
02069326,"Iphone 8 plus back housing",,0.0000,
02145705,"iPad Mini 3 Digitizer",,0.0000,
02221831,"galaxy J737 lcd",,0.0000,
02426923,"Samsung Galaxy A7",,0.0000,
02439863,"Sony PS$ Refurbished",,0.0000,
02888147,"Samsung S9 Plus Battery",,0.0000,
02900482,"Fashinoable Bluetooth Headset",,0.0000,
03091048,"iPad Power Adap OEM",,0.0000,
031262086303,"Tune In Sweat Resistant In-ear headphone - Gray and white",,0.0000,
031262087225,"Hang Up Bluetooth Speaker - Black and Blue",,0.0000,
031262087461,"Hangup Bluetooth Speaker - Black and Blue",,0.0000,
03192992,"Samsung J7 Battery",,0.0000,
03344066,"OtterBox - Commuter Case for Samsung Galaxy S10 - Black",,0.0000,
033991058491,"SoundKase Extra Large Armband - Black",,0.0000,
03415678,"Aduro power up 8000",,0.0000,
03899978,"Amazon Cloud Cam",,0.0000,
04085782,"Samsung Tab A6",,0.0000,
04291121,"lg l57bl",,0.0000,
04317385,"Tab A Cellular 8.0'",,0.0000,
04375090,"LG Fiesta LTE",,0.0000,
04515524,"Lenovo Thinkpad Laptop",,0.0000,
04544543,"Kazuna E talk",,0.0000,
04624572,"LG MS210 LCD",,0.0000,
04635667,"Samsung Gear VR",,0.0000,
04798492,"OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Stardust",,0.0000,
04918736,"Logitech Wireless Mouse (M325C)",,0.0000,
050036353397,"JBL - Charge 4 water proof ",,0.0000,
050036353403,"JBL- Charge 4 Waterproof bluetooh Speaker - Blue",,0.0000,
050036353632,"JBL- LIVE 400BT on ear Bluetooth Headphone-Black",,0.0000,
050036353649,"JBL- LIVE 400BT on ear Bluetooth Headphone-Blue",,0.0000,
050036353670,"JBL- LIVE 400BT on ear Bluetooth Headphone-Red",,0.0000,
050036353687,"JBL - LIVE 500BT over ear Bluetooth Headphone - Black ",,0.0000,
050036353694,"JBL - LIVE 500BT over ear Bluetooth Headphone - Blue",,0.0000,
050036353724,"JBL - LIVE 500BT over ear Bluetooth Headphone - Red",,0.0000,
050036354165,"Clip 3 Waterproof Bluetooth Speaker - Black",Blue,0.0000,
050036354165,"Clip 3 Waterproof Bluetooth Speaker - Black",Red,0.0000,
"050036354165 0","JBL - Clip 3 Waterproof Bluetooth Speaker - Blue",,0.0000,
050036354172,"Clip 3 Waterproof Bluetooth Speaker - Red",,0.0000,
050036354196,"JBL - Clip 3 Waterproof Bluetooth Speaker - Teal",,0.0000,
050036354288,"Go 2 Waterproof Bluetooth Speaker - Black",Black,0.0000,
050036354288,"Go 2 Waterproof Bluetooth Speaker - Black","Champagne Gold",0.0000,
050036354318,"JBL- Go 2 Waterproof speaker - Gray",,0.0000,
050036354325,"Go 2 Waterproof Bluetooth Speaker - Champagne Gold",,0.0000,
050036355469,"JBL T Series T110 In Ear Wired Headphones - Black",,0.0000,
050036355483,"JBL - T Series T110 Ear Wired Headphones - Blue",,0.0000,
050036355506,"T Series T110BT In Ear Bluetooth Headphones - Black",,0.0000,
050036355513,"T Series T110BT In Ear Bluetooth Headphones - White",,0.0000,
050036355520,"T Series T110BT In Ear Bluetooth Headphones - Blue",,0.0000,
050036355568,"JBL - T Series T205 In Ear Wired Headphones - Black",,0.0000,
050036355582,"JBL - T Series T205 In Ear Wired Headphones - Rose Gold",,0.0000,
050036355599,"JBL - T Series T205 In Ear Wired Headphones - Champagne Gold",,0.0000,
050036355674,"JBL-T Series T500BT on ear bluetooth Headphone - Black ",,0.0000,
050036355711,"JBL- T Series T600BTNC on Ear Headphone - Black",,0.0000,
050036355773,"Endurance Run Waterproof In Ear Wired Headphones - Black",,0.0000,
050036355780,"Endurance Run Waterproof In Ear Wired Headphones - Blue",,0.0000,
050036355797,"Endurance Run Waterproof In Ear Wired Headphones - Red",,0.0000,
050036358644,"T Series T205BT In Ear Bluetooth Headphones - Champagne Gold",,0.0000,
050036358668,"T Series T205BT In Ear Bluetooth Headphones - Blue",,0.0000,
050036359276,"Flip 5 Waterproof Bluetooth Speaker - Blue",,0.0000,
050036359283,"Flip 5 Waterproof Bluetooth Speaker - Red",,0.0000,
050036359290,"Flip 5 Waterproof Bluetooth Speaker - Grey",,0.0000,
050036361088,"Flip 5 Waterproof Bluetooth Speaker - Black",Black,0.0000,
050036361088,"Flip 5 Waterproof Bluetooth Speaker - Black",Gray,0.0000,
050036362313,"JBL - pulse 4 waterproof Speaker ",,0.0000,
050036364881,"JBL - Tune 115BT Wireless Earbuds",,0.0000,
050036365116,"JBL - Live 300TWS True Wireless In Ear Bluetooth Headphones - Black",,0.0000,
050036369091,"JBL - Tune 700BT over Ear Bluetooth Headphones",,0.0000,
050036374033,"JBL - Tune 225 True Wireless Earbud Bluetooth Headphones - Black",,0.0000,
050036374262,"JBL- Go 3 waterproof Speaker ",,0.0000,
05020479,"STYLO 6 64GB",,0.0000,
05081749,"OtterBox - Symmetry Case for Samsung Galaxy S10 Plus - Ivy Meadow",,0.0000,
05163093,"Generic Cases S7 Edge",,0.0000,
05297479,"alcatel 1B ",,0.0000,
05807362,"Alcatel Glimpse",,0.0000,
05838092,"Iphone Versus case",,0.0000,
06004982,"Apple Watch Band",,0.0000,
06153941,"Samsung Galaxy Halo",,0.0000,
06243732,"Samsung Fast Adapter",,0.0000,
06472890,"Generic Tablet Digitizer",,0.0000,
06583738,"Pet Speaker",,0.0000,
06678351,"LG k30 tmobile LCD",,0.0000,
06925103,"Aristo 2 Plus LCD",,0.0000,
07004753,"iPhone 7 Lightning Adpater",,0.0000,
07113875,"OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Gradient Energy",,0.0000,
07337094,"USB Adapter IP OEM",,0.0000,
07476832,"Samsung Galaxy Core Prime",,0.0000,
07483939,"iPhone XS max 64 GB",,0.0000,
07551943,"Macbook Pro",,0.0000,
07768998,"Galaxy A20s",,0.0000,
07925273,"iPhone 6S Plus 16GB (Refurbished)",,0.0000,
08038772,"iPhone 4S LCD ",Black,0.0000,
08054046,"DEVICE UNLOCK (CARRIER)",,0.0000,
08206564,"iphone 7 plus 256GB Refurbished unlocked","Jet Black",0.0000,
08206564,"iphone 7 plus 256GB Refurbished unlocked","Prroduct Red",0.0000,
08245412,"Microsoft Surface Book 1703 1704 Pixelsense LCD Touch Screen Assembly USA",,0.0000,
08307400,"15.6"" laptop case",,0.0000,
08441087,"Samsung J2 Battery",,0.0000,
08455825,"samsung galaxy j8",,0.0000,
08643794,"Samsung Lcd SM-A750G",,0.0000,
0878615091375,"Jib In Ear Wired Headphones - White and Black",,0.0000,
08803802,"Zte Blade Z",,0.0000,
08890616,"Belkin - Boost Up Charge Multi Port Power Bank 10,000 mAh - Black",,0.0000,
09071612,"Galaxy J7 sky pro (Total wireless $50 plan)",,0.0000,
09167549,"Gogroove Bass Pulse 2.1",,0.0000,
09264681,"Z981 Battery",,0.0000,
09403251,"Galaxy J7 crown",,0.0000,
09495331,"Skullcandy - Indy True Wireless In Ear Bluetooth Earbuds - Black",,0.0000,
09673514,"Genuine Dell Inspiron 3264 Capacitive Touch Digitizer YP78X 0YP78X",,0.0000,
09694546,"mophie - Power Boost XXL Power Bank 20,800 mAh -  Black",,0.0000,
09871738,"OtterBox - Symmetry Case for Samsung Galaxy Note 9 - Black",,0.0000,
09910059,"iPhone 6S Plus Battery",,0.0000,
10000004,"Galaxy S6 Edge",,0.0000,
10000006,"Galaxy S7",,0.0000,
10000007,"Galaxy S7 Edge",,0.0000,
10000008,"Galaxy S8",,0.0000,
10000009,"Galaxy S8 +",,0.0000,
10000016,"Galaxy J7",,0.0000,
10000017,"Galaxy J7 Prime 16GB",,0.0000,
10000018,"Galaxy J3",,0.0000,
10000022,"iPhone 4",,0.0000,
10000024,"iPhone 5",,0.0000,
10000025,"iPhone 5S Unlocked Refurbished",,0.0000,
10000027,"iPhone 6 16GB (New)",,0.0000,
10000028,"iPhone 6 Plus",,0.0000,
10000029,"iPhone 6S",,0.0000,
10000030,"iPhone 6S Plus",,0.0000,
10000031,"iPhone 7 32GB Refurbished Unlocked",,0.0000,
10000032,"iPhone 7 Plus",,0.0000,
10000033,"iPhone 8",,0.0000,
10000034,"iPhone 8 Plus",,0.0000,
10000035,"iPhone X 64 GB Refurbished ",Black,0.0000,
10000035,"iPhone X 64 GB Refurbished ",Silver,0.0000,
10000036,"Bluetooth Speaker",,0.0000,
10000037,Speaker,,0.0000,
10000038,Misc.,,0.0000,
10000039,"Car Mount",,0.0000,
10000043,"Samsung Wireless Charger",,0.0000,
10122652,"Samsung Active Headphones",,0.0000,
10265609,"Alacatel B1",,0.0000,
10275596,"Blu C6",,0.0000,
10353288,"iPad Battery",,0.0000,
10436940,"inland intruder alert",,0.0000,
10567056,"APPLE MacBook Air 13 A1369 2011 i5 1.7GHz 4GB Logic Board Motherboard 820-3023-A",,0.0000,
107082082703,"iPhone 12/12 Pro LCD",,0.0000,
107082082802,"iPhone 12 Mini LCD",,0.0000,
107082082902,"iPhone 12 Pro Max LCD",,0.0000,
10816366,"LCD Replace/Repair",,0.0000,
10828710,"iPhone 6S Plus (32GB)",,0.0000,
10961958,"samsung charging cable",,0.0000,
10963093,"LG rebel 2 (SMPL Mobile $30 Plan)",,0.0000,
11056958,"Galaxy s9 rear camera",,0.0000,
11465883," Z Play XT1635-01 LCD",,0.0000,
11519181,"Spigen - Tough Armor Case for Apple AirPods - Charcoal",,0.0000,
11556598,"Logitech Wireless Keyboard+Mouse",,0.0000,
11627841,"iPhone 11 Pro 256GB Refurbished",,0.0000,
11978736,"Magnet Car Mount",,0.0000,
12020078,"Galaxy A70 128GB",,0.0000,
12070413,"Samsung Galaxy S9 Plus",Black,0.0000,
12070413,"Samsung Galaxy S9 Plus",Blue,0.0000,
12070413,"Samsung Galaxy S9 Plus",Purple,0.0000,
12144102,"Airpods Pro",,0.0000,
12225838,"Ethernet Cable",,0.0000,
123,"case and temper glass",,0.0000,
1234,"simple mobile phone",,0.0000,
12395359,"iPhone XR 64gb refurbished",,0.0000,
12453537,"iphone xs 256 GB NEW",,0.0000,
12619133,"iPhone XR charging port",,0.0000,
12655772,"Galaxy S8 Plus LCD",,0.0000,
12763892,"iPad Air Digitizer",,0.0000,
13044189,"iPad mini Digitizer",,0.0000,
13077544,"HP Laptop",,0.0000,
131313,"iPhone 13",,0.0000,
13138190,"HTC 10 Evo ",,0.0000,
13171716,"Galaxy A01 core",,0.0000,
13221086,"Samsung S8 Plus Back door glass",,0.0000,
13274368,"iphone 6s Charging port",,0.0000,
1341324134,"Samsung J727 LCD ",,0.0000,
13440263,"Samsung S7 Edge Charging Port",,0.0000,
13500001,"Playstation VR Bundle",,0.0000,
14394524,"2M Cable IP5/6 OEM",,0.0000,
14500802,"Samsung S8 headphone (AKG IG-955)",,0.0000,
14724960,"iPhone 12 Pro Max 256GB",,0.0000,
15029436,"Lg Phoenix 3 (ATT)",,0.0000,
15136580,"JBL - Clip 3 Waterproof Bluetooth Speaker - Gray",,0.0000,
15291259,"Samsung Note 5 Back door glass",,0.0000,
15567557,"iphone 7 rear camera",,0.0000,
15580164,"Toshiba Portable Hard Drive",,0.0000,
15613382,"1M Cable IP5/6 OEM",,0.0000,
15723729,"Belkin - Wireless Charging Pad 10W - Black",,0.0000,
15914670,"Samsung s6 Edge LCD ",Blue,0.0000,
15914670,"Samsung s6 Edge LCD ",Black,0.0000,
16292156,"Otterbox - Symmetry Case for Apple iPhone Xs Max - Black",,0.0000,
16621089,"Galaxy J4+ 16 GB",,0.0000,
16789122,"Samsung Galaxy S8 (Refurbished)",,0.0000,
17271426,"Galaxy S8 Battery",,0.0000,
17477021,"LG X220PM",,0.0000,
17507189,"iPhone Back Camera Glass",,0.0000,
17525177,"SmartWatch ",,0.0000,
17540701,"Flip 2",,0.0000,
17545513,"Rebel 3 with $25 SMPL mobile plan",,0.0000,
17547048,"Car Universal Holder",,0.0000,
17559817,"BLU Dash M2",,0.0000,
17664116,"iPhone 7 Plus Charging Port",,0.0000,
17668889,"Belkin Car Charger IP",,0.0000,
18107956,"Galaxy j3 orbit",,0.0000,
18117013,"iPhone 7 Headphone",,0.0000,
18212006,"Samsung Fast Charger",,0.0000,
18251246,"Lenovo 110-15ISK 15.6"" Laptop - Intel Core i3 - 6GB Memory - 1TB Hard Drive",,0.0000,
18254468,"OtterBox - Commuter Case for Samsung Galaxy S10 Plus - Bespoke Way",,0.0000,
18309917,"Macbook Pro Battery",,0.0000,
18444618,"IPhone 8 Plus 256GB Refurbished",Black,0.0000,
18444618,"IPhone 8 Plus 256GB Refurbished",Gold,0.0000,
18444618,"IPhone 8 Plus 256GB Refurbished",Silver,0.0000,
18728028,"AIRPODS PRO",,0.0000,
18868541,"Samsung 1350 Bluetooth headphone",,0.0000,
191058071682,"UA Protect Dry Bag - Black and Clear",,0.0000,
191058094476,"Incipio-Ghost110 Wireless Charging pad 5W-Black",,0.0000,
191058120878,"Kate Spade - Hardshell Case for Apple iPhone 12 mini - Hollyhock Floral",,0.0000,
191058120892,"Kate Spade - Hardshell Case for Apple iPhone 12 / 12 Pro - Hollyhock Floral",,0.0000,
191058120908,"Kate Spade - Hardshell Case for Apple iPhone 12 Pro Max - Hollyhock Floral",,0.0000,
191058120991,"Kate Spade - Hardshell Case for Apple iPhone 12 mini - Daisy",,0.0000,
