Product Code,Product Name,Variant,Expected,Counted
148321,OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Love Triangle,,1,0
155797,OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Ocean Way,,0,0
226577,Amazon fire TV stick with KODI,,-2,0
369125,Logitech® M325 Wireless Mouse,,9,0
460948,Samsung Galaxy Note 8 64GB Refurbished,,-1,0
481314,IPHONE 8 PLUS CHARGING PORT,,-6,0
734850,INCIPIO Desktop Charging,,-4,0
978939,Galaxy s9 plus back glass,,-1,0
1004546,Dell Latitude E6440 Laptop,,1,0
1152822,Galaxy A32 128GB,,-1,0
1465085,"mophie - Power Boost Power Bank 2,600 mAh - Black",,5,0
1536489,iPad 2,,-2,0
1635200,apple watch series 2 battery,,-1,0
1673539,Alcatel Lumos,,-2,0
1755132,3.5 AUX with Mic,,-3,0
1917102,iPad Mini 2 Wifi (16GB) Refurbished,,-3,0
1958538,iPhone Headphone (BL),,-28,0
2069326,Iphone 8 plus back housing,,-4,0
2145705,iPad Mini 3 Digitizer,,-4,0
2221831,galaxy J737 lcd,,-14,0
2426923,Samsung Galaxy A7,,-1,0
2439863,Sony PS$ Refurbished,,-1,0
2888147,Samsung S9 Plus Battery,,2,0
2900482,Fashinoable Bluetooth Headset,,-4,0
3091048,iPad Power Adap OEM,,-7,0
31262086303,Tune In Sweat Resistant In-ear headphone - Gray and white,,1,0
31262087225,Hang Up Bluetooth Speaker - Black and Blue,,1,0
31262087461,Hangup Bluetooth Speaker - Black and Blue,,2,0
3192992,Samsung J7 Battery,,-5,0
3344066,OtterBox - Commuter Case for Samsung Galaxy S10 - Black,,2,0
33991058491,SoundKase Extra Large Armband - Black,,2,0
3415678,Aduro power up 8000,,0,0
3899978,Amazon Cloud Cam,,-2,0
4085782,Samsung Tab A6,,-1,0
4291121,lg l57bl,,-1,0
4317385,Tab A Cellular 8.0',,3,0
4375090,LG Fiesta LTE,,-1,0
4515524,Lenovo Thinkpad Laptop,,-1,0
4544543,Kazuna E talk,,-1,0
4624572,LG MS210 LCD,,-2,0
4635667,Samsung Gear VR,,-1,0
4798492,OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Stardust,,1,0
4918736,Logitech Wireless Mouse (M325C),,-9,0
50036353397,JBL - Charge 4 water proof ,,2,0
50036353403,JBL- Charge 4 Waterproof bluetooh Speaker - Blue,,-3,0
50036353632,JBL- LIVE 400BT on ear Bluetooth Headphone-Black,,-1,0
50036353649,JBL- LIVE 400BT on ear Bluetooth Headphone-Blue,,1,0
50036353670,JBL- LIVE 400BT on ear Bluetooth Headphone-Red,,0,0
50036353687,JBL - LIVE 500BT over ear Bluetooth Headphone - Black ,,0,0
